Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:34:31,2018-11-27 15:34:59,27.778s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:34:59,2018-11-27 15:35:48,48.970s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:35:48,2018-11-27 15:36:12,24.860s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:36:12,2018-11-27 15:37:01,48.630s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:37:01,2018-11-27 15:44:07,7m - 6.315s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:44:07,2018-11-27 15:44:15,7.559s,PASSED
,,,,,,
Test Cases/Scenario/Claim MV - Out Non Workshop,Chrome 70.0.3538.102,,2018-11-27 15:44:15,2018-11-27 15:54:20,10m - 5.127s,ERROR
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:44:15,2018-11-27 15:44:38,23.033s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:44:38,2018-11-27 15:45:06,27.604s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:45:06,2018-11-27 15:45:53,47.635s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:45:53,2018-11-27 15:46:18,24.833s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:46:18,2018-11-27 15:47:07,48.248s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:47:07,2018-11-27 15:54:20,7m - 13.555s,FAILED
,,,,,,
Test Cases/Scenario/Claim MV - Out Workshop,Chrome 70.0.3538.102,,2018-11-27 15:54:20,2018-11-27 16:04:52,10m - 32.245s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:54:20,2018-11-27 15:54:43,23.051s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:54:43,2018-11-27 15:55:22,39.150s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:55:22,2018-11-27 15:56:11,48.353s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:56:11,2018-11-27 15:56:36,25.011s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:56:36,2018-11-27 15:57:24,48.489s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:57:24,2018-11-27 16:04:45,7m - 20.346s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 16:04:45,2018-11-27 16:04:52,7.634s,PASSED
