Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Run All Claim MV,Chrome 70.0.3538.102,,2018-11-27 15:03:39,2018-11-27 16:04:54,1h - 1m - 14.547s,ERROR
,,,,,,
Test Cases/Scenario/Claim MV - In Branch,Chrome 70.0.3538.102,,2018-11-27 15:03:40,2018-11-27 15:14:04,10m - 24.465s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:03:41,2018-11-27 15:04:03,22.450s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:04:03,2018-11-27 15:04:46,42.428s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:04:46,2018-11-27 15:05:37,51.032s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:05:37,2018-11-27 15:06:02,24.990s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:06:02,2018-11-27 15:06:52,50.747s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:06:52,2018-11-27 15:13:57,7m - 4.323s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:13:57,2018-11-27 15:14:04,7.712s,PASSED
,,,,,,
Test Cases/Scenario/Claim MV - In Garda Center,Chrome 70.0.3538.102,,2018-11-27 15:14:04,2018-11-27 15:24:06,10m - 1.960s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:14:05,2018-11-27 15:14:23,18.639s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:14:23,2018-11-27 15:14:50,26.739s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:14:50,2018-11-27 15:15:39,48.578s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:15:39,2018-11-27 15:16:06,27.201s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:16:06,2018-11-27 15:16:54,48.511s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:16:54,2018-11-27 15:23:59,7m - 4.640s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:23:59,2018-11-27 15:24:06,7.377s,PASSED
,,,,,,
Test Cases/Scenario/Claim MV - In RO,Chrome 70.0.3538.102,,2018-11-27 15:24:06,2018-11-27 15:34:11,10m - 4.121s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:24:07,2018-11-27 15:24:26,18.904s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:24:26,2018-11-27 15:24:53,27.043s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:24:53,2018-11-27 15:25:41,48.118s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:25:41,2018-11-27 15:26:06,25.425s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:26:06,2018-11-27 15:26:56,50.077s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:26:56,2018-11-27 15:34:03,7m - 6.904s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:34:03,2018-11-27 15:34:11,7.440s,PASSED
,,,,,,
Test Cases/Scenario/Claim MV - In Workshop,Chrome 70.0.3538.102,,2018-11-27 15:34:11,2018-11-27 15:44:15,10m - 4.399s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 15:34:11,2018-11-27 15:34:31,20.038s,PASSED
