Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Run All Claim MV,Chrome 70.0.3538.102,,2018-11-27 10:32:47,2018-11-27 11:31:47,58m - 59.322s,FAILED
,,,,,,
Test Cases/Scenario/Claim MV - In Branch,Chrome 70.0.3538.102,,2018-11-27 10:32:48,2018-11-27 10:44:25,11m - 36.669s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 10:32:49,2018-11-27 10:33:19,30.376s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 10:33:19,2018-11-27 10:33:55,36.209s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 10:33:55,2018-11-27 10:34:43,48.036s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 10:34:43,2018-11-27 10:35:14,30.701s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 10:35:14,2018-11-27 10:36:27,1m - 12.678s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 10:36:27,2018-11-27 10:44:16,7m - 49.394s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 10:44:16,2018-11-27 10:44:25,8.615s,PASSED
,,,,,,
Test Cases/Scenario/Claim MV - In Garda Center,Chrome 70.0.3538.102,,2018-11-27 10:44:25,2018-11-27 10:56:17,11m - 52.288s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 10:44:25,2018-11-27 10:46:07,1m - 41.921s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 10:46:07,2018-11-27 10:46:34,27.437s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 10:46:34,2018-11-27 10:47:20,45.812s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 10:47:20,2018-11-27 10:47:47,27.180s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 10:47:47,2018-11-27 10:48:32,45.156s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 10:48:32,2018-11-27 10:56:10,7m - 37.350s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 10:56:10,2018-11-27 10:56:17,7.144s,PASSED
,,,,,,
Test Cases/Scenario/Claim MV - In RO,Chrome 70.0.3538.102,,2018-11-27 10:56:17,2018-11-27 10:58:34,2m - 16.789s,FAILED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 10:56:17,2018-11-27 10:57:10,53.209s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 10:57:10,2018-11-27 10:58:09,58.326s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 10:58:09,2018-11-27 10:58:34,25.025s,FAILED
,,,,,,
Test Cases/Scenario/Claim MV - In Workshop,Chrome 70.0.3538.102,,2018-11-27 10:58:34,2018-11-27 11:09:42,11m - 8.413s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 10:58:34,2018-11-27 10:59:21,46.942s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 10:59:21,2018-11-27 11:00:04,42.833s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:00:04,2018-11-27 11:00:50,45.915s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:00:50,2018-11-27 11:01:20,30.152s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:01:20,2018-11-27 11:02:21,1m - 0.967s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:02:21,2018-11-27 11:09:34,7m - 12.981s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:09:34,2018-11-27 11:09:42,8.305s,PASSED
,,,,,,
Test Cases/Scenario/Claim MV - Out Non Workshop,Chrome 70.0.3538.102,,2018-11-27 11:09:42,2018-11-27 11:21:20,11m - 37.611s,ERROR
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:09:42,2018-11-27 11:10:23,40.649s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:10:23,2018-11-27 11:11:48,1m - 25.266s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:11:48,2018-11-27 11:12:34,45.815s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:12:34,2018-11-27 11:13:10,35.814s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:13:10,2018-11-27 11:13:56,45.894s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:13:56,2018-11-27 11:21:20,7m - 23.913s,FAILED
,,,,,,
Test Cases/Scenario/Claim MV - Out Workshop,Chrome 70.0.3538.102,,2018-11-27 11:21:20,2018-11-27 11:31:46,10m - 25.896s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:21:20,2018-11-27 11:21:57,37.466s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:21:57,2018-11-27 11:22:27,29.418s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:22:27,2018-11-27 11:23:12,45.281s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:23:12,2018-11-27 11:23:39,27.042s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:23:39,2018-11-27 11:24:24,44.802s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:24:24,2018-11-27 11:31:38,7m - 13.889s,PASSED
callTestCase,Chrome 70.0.3538.102,,2018-11-27 11:31:38,2018-11-27 11:31:46,7.798s,PASSED
